global_pep_ID,local_pep_ID,frame,trajectory,target_status,pp_contacts,pl_contacts,dip_pp_contacts,dip_lp_contacts,hyd_lp_contacts,Ppep_Nlip_contacts,Npep_Plip_contacts,mean_separation,mean_apl
10,10,163,0,3,0,0,0,0,0,0,0,22.925006420356787,0.5633000000000001
22,22,163,0,1,0,19,0,2,42,4,1,9.626340477658662,0.5633000000000001
34,34,163,0,1,0,10,0,0,0,1,1,13.449407050982424,0.5633000000000001
10,10,164,0,3,0,0,0,0,0,0,0,22.839769228420664,0.5633000000000001
22,22,164,0,1,0,25,0,1,41,4,1,9.575380444744372,0.5633000000000001
34,34,164,0,1,0,6,0,0,0,1,1,13.378618884352644,0.5633000000000001
10,10,165,0,3,0,0,0,0,0,0,0,22.762438513834844,0.5578000000000001
22,22,165,0,1,0,20,0,4,41,4,0,9.524562554701804,0.5578000000000001
34,34,165,0,1,0,5,0,0,0,0,1,13.31360343719306,0.5578000000000001
10,10,166,0,3,0,0,0,0,0,0,0,22.674331282905403,0.5633000000000001
22,22,166,0,1,0,28,0,2,41,4,0,9.473692619953946,0.5633000000000001
34,34,166,0,1,0,7,0,1,0,1,1,13.244395891126858,0.5633000000000001
10,10,167,0,3,0,0,0,0,0,0,0,22.5910052559839,0.5578000000000001
22,22,167,0,1,0,20,0,2,41,3,1,9.422816958140166,0.5578000000000001
34,34,167,0,1,0,6,0,0,0,1,1,13.175004880815468,0.5578000000000001
10,10,168,0,3,0,0,0,0,0,0,0,22.508519745989716,0.5475999999999999
22,22,168,0,1,0,18,0,4,51,3,1,9.37225235461889,0.5475999999999999
34,34,168,0,1,0,5,0,0,1,1,1,13.101848894542972,0.5475999999999999
10,10,169,0,3,0,0,0,0,0,0,0,22.426225362285187,0.5475999999999999
22,22,169,0,1,0,20,0,0,46,3,0,9.319754918258797,0.5475999999999999
34,34,169,0,1,0,6,0,1,0,1,1,13.030040307446429,0.5475999999999999
10,10,170,0,3,0,0,0,0,0,0,0,22.349564889586244,0.6048
22,22,170,0,1,0,21,0,3,50,3,1,9.270105826255255,0.6048
34,34,170,0,1,0,6,0,1,0,2,1,12.961715913451435,0.6048
